#tick=1449059,netprod=8792136986877.3,nets=3379
kind,name,sample,input,output
pw,inserter,179,29994.548888889,0
pw,inserter,180,30853.235555556,0
pw,inserter,181,25300.504444444,0
pw,inserter,182,24539.668888889,0
pw,inserter,183,22290.817777778,0
pw,inserter,184,19841.186666667,0
pw,inserter,185,17784.71,0
pw,inserter,186,16240.471111111,0
pw,inserter,187,14764.062222222,0
pw,inserter,188,15512.548888889,0
pw,inserter,189,14426.587777778,0
pw,inserter,190,12772.347777778,0
pw,inserter,191,8833.3433333333,0
pw,inserter,192,8617.3077777778,0
pw,inserter,193,6539.5383333333,0
pw,inserter,194,4246.8008333333,0
pw,inserter,195,1511.1991666667,0
pw,inserter,196,614.85826388889,0
pw,inserter,197,85.721857638889,0
pw,long-handed-inserter,1,52401.964444444,0
pw,long-handed-inserter,2,52403.422222222,0
pw,long-handed-inserter,3,52610.195555556,0
pw,long-handed-inserter,4,51570.262222222,0
pw,long-handed-inserter,5,48449.471111111,0
pw,long-handed-inserter,6,47286.746666667,0
pw,long-handed-inserter,7,47135.404444444,0
pw,long-handed-inserter,8,49930.942222222,0
pw,long-handed-inserter,9,49900.928888889,0
pw,long-handed-inserter,10,50166.791111111,0
pw,long-handed-inserter,11,49777.488888889,0
pw,long-handed-inserter,12,50824.751111111,0
pw,long-handed-inserter,13,52398.4,0
pw,long-handed-inserter,14,53254.328888889,0
pw,long-handed-inserter,15,52827.448888889,0
pw,long-handed-inserter,16,52979.457777778,0
pw,long-handed-inserter,17,53076.151111111,0
pw,long-handed-inserter,18,52973.733333333,0
pw,long-handed-inserter,19,52643.204444444,0
pw,long-handed-inserter,20,52691.088888889,0
pw,long-handed-inserter,21,52586.551111111,0
pw,long-handed-inserter,22,52710.24,0
pw,long-handed-inserter,23,52682.391111111,0
pw,long-handed-inserter,24,52826.475555556,0
pw,long-handed-inserter,25,52410.177777778,0
pw,long-handed-inserter,26,52190.311111111,0
pw,long-handed-inserter,27,52347.68,0
pw,long-handed-inserter,28,52300.688888889,0
pw,long-handed-inserter,29,52134.946666667,0
pw,long-handed-inserter,30,52175.928888889,0
pw,long-handed-inserter,31,52304.2,0
