#tick=1440948,surfaces=10,speed=1
kind,name,precision,sample,input,output
item,iron-plate,ten_hours,144,26361,26593
item,iron-plate,ten_hours,145,25869,26931
item,iron-plate,ten_hours,146,25405,26661
item,iron-plate,ten_hours,147,24691,26933
item,iron-plate,ten_hours,148,23185,25731
item,iron-plate,ten_hours,149,21091,22288
item,iron-plate,ten_hours,150,25964,18959
item,iron-plate,ten_hours,151,23094,15851
item,iron-plate,ten_hours,152,15643,15100
item,iron-plate,ten_hours,153,15675,15412
item,iron-plate,ten_hours,154,15683,14998
item,iron-plate,ten_hours,155,15716,14619
item,iron-plate,ten_hours,156,15740,14468
item,iron-plate,ten_hours,157,13607,11900
item,iron-plate,ten_hours,158,10355,10878
item,iron-plate,ten_hours,159,10350,10846
item,iron-plate,ten_hours,160,10350,10511
item,iron-plate,ten_hours,161,10350,10472
item,iron-plate,ten_hours,162,10350,10126
item,iron-plate,ten_hours,163,10350,9529
item,iron-plate,ten_hours,164,10350,9457
item,iron-plate,ten_hours,165,10350,10074
item,iron-plate,ten_hours,166,10350,10646
item,iron-plate,ten_hours,167,10312,10110
item,iron-plate,ten_hours,168,10206,9377
item,iron-plate,ten_hours,169,10196,9896
item,iron-plate,ten_hours,170,10205,8841
item,iron-plate,ten_hours,171,10205,9428
item,iron-plate,ten_hours,172,10187,9114
item,iron-plate,ten_hours,173,10142,9116
item,iron-plate,ten_hours,174,10204,9239
item,iron-plate,ten_hours,175,9432,9334
item,iron-plate,ten_hours,176,9973,8437
item,iron-plate,ten_hours,177,9191,8371
item,iron-plate,ten_hours,178,9423,8038
item,iron-plate,ten_hours,179,8702,7660
item,iron-plate,ten_hours,180,5793,5631
item,iron-plate,ten_hours,181,5542,5975
item,iron-plate,ten_hours,182,5219,5862
item,iron-plate,ten_hours,183,4747,4688
item,iron-plate,ten_hours,184,3973,4492
item,iron-plate,ten_hours,185,3551,4764
item,iron-plate,ten_hours,186,3451,3955
item,iron-plate,ten_hours,187,3421,2955
item,iron-plate,ten_hours,188,3458,2728
item,iron-plate,ten_hours,189,3122,2891
item,iron-plate,ten_hours,190,3089,2261
item,iron-plate,ten_hours,191,2849,2026
item,iron-plate,ten_hours,192,2278,1597
item,iron-plate,ten_hours,193,1679,1445
item,iron-plate,ten_hours,194,1374,980
item,iron-plate,ten_hours,195,781,1038
item,iron-plate,ten_hours,196,780,815
item,iron-plate,ten_hours,197,606,134
item,iron-plate,ten_hours,198,522,260
item,iron-plate,ten_hours,199,226,193
item,iron-plate,ten_hours,200,57,18
item,iron-plate,fifty_hours,1,163272,154665
item,iron-plate,fifty_hours,2,162664,158152
item,iron-plate,fifty_hours,3,162833,162736
item,iron-plate,fifty_hours,4,161890,160422
item,iron-plate,fifty_hours,5,165800,160746
item,iron-plate,fifty_hours,6,167921,162104
item,iron-plate,fifty_hours,7,167217,162931
item,iron-plate,fifty_hours,8,168695,165237
item,iron-plate,fifty_hours,9,171147,161942
item,iron-plate,fifty_hours,10,172594,163546
item,iron-plate,fifty_hours,11,173670,162875
item,iron-plate,fifty_hours,12,176368,166682
item,iron-plate,fifty_hours,13,176210,168193
item,iron-plate,fifty_hours,14,172183,169136
item,iron-plate,fifty_hours,15,173828,165951
item,iron-plate,fifty_hours,16,176006,168830
item,iron-plate,fifty_hours,17,176465,168676
item,iron-plate,fifty_hours,18,178566,171396
item,iron-plate,fifty_hours,19,179840,174702
item,iron-plate,fifty_hours,20,178912,173619
item,iron-plate,fifty_hours,21,178468,173713
item,iron-plate,fifty_hours,22,178675,175389
item,iron-plate,fifty_hours,23,177727,176101
item,iron-plate,fifty_hours,24,179155,173982
item,iron-plate,fifty_hours,25,173216,168667
item,iron-plate,fifty_hours,26,161883,160077
item,iron-plate,fifty_hours,27,161572,158204
item,iron-plate,fifty_hours,28,161942,164093
item,iron-plate,fifty_hours,29,142632,142191
item,iron-plate,fifty_hours,30,120336,120572
item,iron-plate,fifty_hours,31,85811,75980
item,iron-plate,fifty_hours,32,60402,58603
item,iron-plate,fifty_hours,33,51750,49658
item,iron-plate,fifty_hours,34,51269,48870
item,iron-plate,fifty_hours,35,50170,46231
item,iron-plate,fifty_hours,36,43082,38137
item,iron-plate,fifty_hours,37,23032,25781
item,iron-plate,fifty_hours,38,16541,14790
item,iron-plate,fifty_hours,39,8961,7086
item,iron-plate,fifty_hours,40,2191,1420
item,copper-plate,ten_hours,1,30597,30672
item,copper-plate,ten_hours,2,30102,30813
item,copper-plate,ten_hours,3,29064,29802
item,copper-plate,ten_hours,4,28093,27799
item,copper-plate,ten_hours,5,28801,27074
item,copper-plate,ten_hours,6,29808,27161
item,copper-plate,ten_hours,7,29573,29215
item,copper-plate,ten_hours,8,30409,27921
item,copper-plate,ten_hours,9,31168,29204
item,copper-plate,ten_hours,10,31628,30433
item,copper-plate,ten_hours,11,31817,30607
item,copper-plate,ten_hours,12,31922,30983
item,copper-plate,ten_hours,13,31921,30901
item,copper-plate,ten_hours,14,31963,31002
item,copper-plate,ten_hours,15,31998,31080
item,copper-plate,ten_hours,16,31974,30993
item,copper-plate,ten_hours,17,32000,31021
item,copper-plate,ten_hours,18,31986,30877
item,copper-plate,ten_hours,19,31974,30932
item,copper-plate,ten_hours,20,31962,31019
item,copper-plate,ten_hours,21,31958,30855
item,copper-plate,ten_hours,22,31976,30972
item,copper-plate,ten_hours,23,31945,30832
item,copper-plate,ten_hours,24,31887,30876
item,copper-plate,ten_hours,25,31885,30880
item,copper-plate,ten_hours,26,31867,30776
item,copper-plate,ten_hours,27,31869,30838
item,copper-plate,ten_hours,28,31867,30779
item,copper-plate,ten_hours,29,31873,31312
item,copper-plate,ten_hours,30,31867,31875
item,copper-plate,ten_hours,31,31750,31720
item,copper-plate,ten_hours,32,31856,32155
item,copper-plate,ten_hours,33,31820,31995
item,copper-plate,ten_hours,34,31880,32456
item,copper-plate,ten_hours,35,31888,32536
item,copper-plate,ten_hours,36,31874,32362
item,copper-plate,ten_hours,37,31826,32423
item,copper-plate,ten_hours,38,31822,32643
item,copper-plate,ten_hours,39,31767,32793
item,copper-plate,ten_hours,40,31732,32399
item,copper-plate,ten_hours,41,31711,31370
item,copper-plate,ten_hours,42,31807,31008
item,copper-plate,ten_hours,43,31818,30969
item,copper-plate,ten_hours,44,31798,30892
item,copper-plate,ten_hours,45,31825,30981
item,copper-plate,ten_hours,46,31811,30860
item,copper-plate,ten_hours,47,31808,30971
item,copper-plate,ten_hours,48,31832,31045
item,copper-plate,ten_hours,49,31810,30974
item,copper-plate,ten_hours,50,31847,31023
item,copper-plate,ten_hours,51,31907,30969
item,copper-plate,ten_hours,52,31900,31054
item,copper-plate,ten_hours,53,31892,31041
item,copper-plate,ten_hours,54,31913,31038
item,copper-plate,ten_hours,55,31865,31136
item,copper-plate,ten_hours,56,31896,31360
item,copper-plate,ten_hours,57,31901,31875
item,copper-plate,ten_hours,58,31885,31954
item,copper-plate,ten_hours,59,31872,31849
item,copper-plate,ten_hours,60,31848,31917
item,copper-plate,ten_hours,61,31847,31819
item,copper-plate,ten_hours,62,31822,31923
item,copper-plate,ten_hours,63,31809,31815
item,copper-plate,ten_hours,64,31669,31863
item,copper-plate,ten_hours,65,31501,31898
item,copper-plate,ten_hours,66,31239,31966
item,copper-plate,ten_hours,67,30361,32400
item,copper-plate,ten_hours,68,29683,31010
item,copper-plate,ten_hours,69,28928,28906
item,copper-plate,ten_hours,70,29022,29010
item,copper-plate,ten_hours,71,28986,29081
item,copper-plate,ten_hours,72,28966,29214
item,copper-plate,ten_hours,73,28980,29165
item,copper-plate,ten_hours,74,28926,28891
item,copper-plate,ten_hours,75,28982,29804
item,copper-plate,ten_hours,76,29027,30333
item,copper-plate,ten_hours,77,29040,29782
item,copper-plate,ten_hours,78,29059,30459
item,copper-plate,ten_hours,79,29010,29020
item,copper-plate,ten_hours,80,28990,29172
item,copper-plate,ten_hours,81,28804,29000
item,copper-plate,ten_hours,82,28597,28524
item,copper-plate,ten_hours,83,28758,28476
item,copper-plate,ten_hours,84,29194,28075
item,copper-plate,ten_hours,85,29711,29845
item,copper-plate,ten_hours,86,30286,30133
item,copper-plate,ten_hours,87,30632,29605
item,copper-plate,ten_hours,88,31129,30080
item,copper-plate,ten_hours,89,31349,30326
item,copper-plate,ten_hours,90,31594,30942
item,copper-plate,ten_hours,91,31602,31119
item,copper-plate,ten_hours,92,31671,31315
item,copper-plate,ten_hours,93,31512,31704
item,copper-plate,ten_hours,94,31205,31179
item,copper-plate,ten_hours,95,31251,31061
item,copper-plate,ten_hours,96,31238,30780
item,copper-plate,ten_hours,97,31229,30978
item,copper-plate,ten_hours,98,31205,31114
item,copper-plate,ten_hours,99,31151,31060
item,copper-plate,ten_hours,100,31001,31080
item,copper-plate,ten_hours,101,31079,31082
item,copper-plate,ten_hours,102,31010,30926
item,copper-plate,ten_hours,103,30994,30947
item,copper-plate,ten_hours,104,31005,30908
item,copper-plate,ten_hours,105,31020,31165
item,copper-plate,ten_hours,106,31089,30955
item,copper-plate,ten_hours,107,31117,31257
item,copper-plate,ten_hours,108,31015,31259
item,copper-plate,ten_hours,109,30948,31447
item,copper-plate,ten_hours,110,30622,32572
item,copper-plate,ten_hours,111,30109,32764
item,copper-plate,ten_hours,112,28953,33092
item,copper-plate,ten_hours,113,29453,27740
item,copper-plate,ten_hours,114,30596,28332
item,copper-plate,ten_hours,115,31054,31345
item,copper-plate,ten_hours,116,30950,31373
item,copper-plate,ten_hours,117,30964,31109
item,copper-plate,ten_hours,118,30876,31124
item,copper-plate,ten_hours,119,30950,30966
item,copper-plate,ten_hours,120,30780,31457
item,copper-plate,ten_hours,121,30602,31609
item,copper-plate,ten_hours,122,31075,30873
item,copper-plate,ten_hours,123,30614,29574
item,copper-plate,ten_hours,124,28586,26725
item,copper-plate,ten_hours,125,27264,24883
item,copper-plate,ten_hours,126,23266,23539
item,copper-plate,ten_hours,127,22585,22884
item,copper-plate,ten_hours,128,22538,23023
item,copper-plate,ten_hours,129,22567,22746
item,copper-plate,ten_hours,130,22548,22895
item,copper-plate,ten_hours,131,22558,22752
item,copper-plate,ten_hours,132,22547,22365
item,copper-plate,ten_hours,133,22551,22604
item,copper-plate,ten_hours,134,22563,22418
item,copper-plate,ten_hours,135,22557,22563
item,copper-plate,ten_hours,136,22472,22687
item,copper-plate,ten_hours,137,22308,22509
item,copper-plate,ten_hours,138,22102,22933
item,copper-plate,ten_hours,139,21471,23522
item,copper-plate,ten_hours,140,20465,23265
item,copper-plate,ten_hours,141,19101,17128
item,copper-plate,ten_hours,142,18203,11509
item,copper-plate,ten_hours,143,15367,8209
item,copper-plate,ten_hours,144,8948,6107
item,copper-plate,ten_hours,145,7730,7144
item,copper-plate,ten_hours,146,7729,7142
item,copper-plate,ten_hours,147,7733,7150
item,copper-plate,ten_hours,148,7724,7122
item,copper-plate,ten_hours,149,7673,7107
item,copper-plate,ten_hours,150,7637,7137
item,copper-plate,ten_hours,151,7550,7140
item,copper-plate,ten_hours,152,7435,7131
item,copper-plate,ten_hours,153,7253,7205
item,copper-plate,ten_hours,154,6759,6850
item,copper-plate,ten_hours,155,6052,5588
item,copper-plate,ten_hours,156,7597,4973
item,copper-plate,ten_hours,157,8108,4372
item,copper-plate,ten_hours,158,4026,3804
item,copper-plate,ten_hours,159,3800,3844
item,copper-plate,ten_hours,160,3788,3853
item,copper-plate,ten_hours,161,3763,3870
item,copper-plate,ten_hours,162,3695,3856
item,copper-plate,ten_hours,163,3629,3661
item,copper-plate,ten_hours,164,3545,3654
item,copper-plate,ten_hours,165,3446,3746
item,copper-plate,ten_hours,166,3028,3633
item,copper-plate,ten_hours,167,2755,2688
item,copper-plate,ten_hours,168,3756,1734
item,copper-plate,ten_hours,169,2916,1560
item,copper-plate,ten_hours,170,1725,1660
item,copper-plate,ten_hours,171,1719,1591
item,copper-plate,ten_hours,172,1716,1476
item,copper-plate,ten_hours,173,1721,1476
item,copper-plate,ten_hours,174,1719,1476
item,copper-plate,ten_hours,175,1605,1476
item,copper-plate,ten_hours,176,1499,1476
item,copper-plate,ten_hours,177,1500,1478
item,copper-plate,ten_hours,178,1271,1169
item,copper-plate,ten_hours,179,779,784
item,copper-plate,ten_hours,180,778,779
item,copper-plate,ten_hours,181,779,777
item,copper-plate,ten_hours,182,780,786
item,copper-plate,ten_hours,183,767,822
